"id","userName","text","profileUrl","avatarUrl","date"
"60884030197","frengki_ms98","Prediksi saya, Indo menang lawan bahrain & cina. Imbang lawan jepang.","https://www.instagram.com/frengki_ms98/","https://instagram.fbpn3-1.fna.fbcdn.net/v/t51.2885-19/448827258_1144638779942678_5550528701265606943_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fbpn3-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=dXu18Si5lz4Q7kNvgHHb9JQ&_nc_gid=ca847deaea6147919b66b58f4aa24e64&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYCocS7ugoACRKHCbLcg-m1RJgBZHk0xDk6eEIbF4PTlQQ&oe=67076687&_nc_sid=0985b0","2024/09/16 12:55:31"
"9435647935","mibnusaidsaid","Kesempatan salib arab atau bahrain","https://www.instagram.com/mibnusaidsaid/","https://instagram.fbpn3-1.fna.fbcdn.net/v/t51.2885-19/280290407_960488784651201_8244570541895741146_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fbpn3-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=MUqJDtOxo5QQ7kNvgE2IcAM&_nc_gid=ca847deaea6147919b66b58f4aa24e64&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYDaRfd-iWJxiNa5uJ1IRy-4wNCjvyp-2_9q4KMhbpmlNw&oe=67074521&_nc_sid=0985b0","2024/09/16 13:47:06"
"61121769519","jessebenaya","Jepang lolos in aja wahai panitia","https://www.instagram.com/jessebenaya/","https://instagram.fbpn3-1.fna.fbcdn.net/v/t51.2885-19/462073826_1642812470451951_4548367689045139679_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fbpn3-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=CFcetsWd0c0Q7kNvgGOaKQo&_nc_gid=ca847deaea6147919b66b58f4aa24e64&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYDULYxTjJ21F8owC4rSLaozt2AYCC5Y6dsWubDWmBMwXg&oe=670754A6&_nc_sid=0985b0","2024/09/16 14:07:46"
"60914698758","ka_zx15","misi balas dendam 10-0 dimulai🦅","https://www.instagram.com/ka_zx15/","https://instagram.fbpn3-1.fna.fbcdn.net/v/t51.2885-19/450929382_2214277258926855_3971955444036509661_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fbpn3-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=cb7g_H9FFhsQ7kNvgFAowF8&_nc_gid=ca847deaea6147919b66b58f4aa24e64&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYBKIZMD8wnFQn51aIQ0uAPCRIx5Zcb7vSwlTI_GPtyB9A&oe=670751DC&_nc_sid=0985b0","2024/09/16 14:49:55"
"68921457401","denidod","🔥🔥","https://www.instagram.com/denidod/","https://instagram.fbpn3-1.fna.fbcdn.net/v/t51.2885-19/456386596_1940723609683086_5684189798775323813_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fbpn3-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=xtFwHJtmG-gQ7kNvgGWMN9a&_nc_gid=ca847deaea6147919b66b58f4aa24e64&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYC0yJPQiSIoG_h5HKsbfodFoj-wx5__qv-Dje_LSvWT6Q&oe=670777E5&_nc_sid=0985b0","2024/09/16 22:47:57"
"5839879739","papa_aul","Bismillah menang lawan Tiongkok","https://www.instagram.com/papa_aul/","https://instagram.fbpn3-1.fna.fbcdn.net/v/t51.2885-19/292127874_1064719817795651_281451012328429180_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fbpn3-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=Nj_XSz5POd8Q7kNvgE_xT6u&_nc_gid=ca847deaea6147919b66b58f4aa24e64&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYDqkKPHbUkXyNgCzI3urKxKBdLwkpjNWNX8_S611lMlbg&oe=67074935&_nc_sid=0985b0","2024/09/17 11:10:44"
"5839879739","papa_aul","@fathurrpatull aamiin..","https://www.instagram.com/papa_aul/","https://instagram.fbpn3-1.fna.fbcdn.net/v/t51.2885-19/292127874_1064719817795651_281451012328429180_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fbpn3-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=Nj_XSz5POd8Q7kNvgE_xT6u&_nc_gid=ca847deaea6147919b66b58f4aa24e64&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYDqkKPHbUkXyNgCzI3urKxKBdLwkpjNWNX8_S611lMlbg&oe=67074935&_nc_sid=0985b0","2024/09/17 11:10:57"
"4829846451","ptlarismanisutama_cbgpalembang","Siap meramaikan GBK nanti lawan jepang .. 🔥🔥","https://www.instagram.com/ptlarismanisutama_cbgpalembang/","https://instagram.fbpn3-1.fna.fbcdn.net/v/t51.2885-19/336073743_133796276087773_8364662468267382650_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fbpn3-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=DcrUSVftkyMQ7kNvgHUOwnq&_nc_gid=ca847deaea6147919b66b58f4aa24e64&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYCIlJhvvYD4plcN-gJPW13okae253TWHW3z30oi04izJQ&oe=6707651D&_nc_sid=0985b0","2024/09/17 11:44:19"
"2024242901","dannyajisukmawan","kalo lawan bahrain dan china di oktober udah ada mauro, mees, jairo, elano, sm ole keren bgt sih 🔥","https://www.instagram.com/dannyajisukmawan/","https://instagram.fbpn3-1.fna.fbcdn.net/v/t51.2885-19/250284442_301539795141244_4508843204896663888_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fbpn3-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=F45DXmsG8N8Q7kNvgF0GU23&_nc_gid=ca847deaea6147919b66b58f4aa24e64&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYBHXraJRLxuR9hqlC_vgmw102PUqRQX-NjtFn-DGf_3vw&oe=67076232&_nc_sid=0985b0","2024/09/17 12:46:41"
"69050475882","ekoindraprasda.m","Semoga bisa melompat lebih tinggi.🇮🇩🇮🇩","https://www.instagram.com/ekoindraprasda.m/","https://instagram.fbpn3-1.fna.fbcdn.net/v/t51.2885-19/460840363_2000570100374784_1162000013953542985_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fbpn3-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=eR4iCR7xMHIQ7kNvgFFf3vp&_nc_gid=ca847deaea6147919b66b58f4aa24e64&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYD1f-HjLYLdMQe58znlGuxcUoiQt26IGYkjS41BoFeEqA&oe=67076C50&_nc_sid=0985b0","2024/09/17 13:27:20"
